molecules,label
FC(F)(F)CS,34.5
CC(C)c1ccc(CO)cc1,249.0
CC(C)OCCO,145.0
C=CC(C)C(C)O,125.5
CN(C)CC#N,137.5
CCC(=O)CCC(C)C,164.0
CC(=O)C1CC=C(C)CC1,171.0
COC(C)(C)C,55.2
CN(C)[S+]([O-])N(C)C,209.0
FC(F)Br,-15.5
OCCSCCO,282.0
COC(=O)[C@]1(C)CCC[C@@]2(C)[C@H]1CC=C1C=C(C(C)C)CC[C@@H]12,362.5
Cc1ccc(Br)c(C)c1,205.0
CC(=O)CCCCO,227.0
Cc1c(F)c(F)cc(F)c1F,125.5
CC(C)CCBr,120.4
C=C[Si](C)(C)Cl,83.5
C#C/C=C\C,48.4
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,161.0
O=CC(Br)(Br)Br,174.0
C=CC(C)(C)C,41.2
CCCN(CCC)CCO,196.0
CCOC(=O)C(Br)(Br)Br,225.0
O=CNc1ccccc1,271.0
O=C=NCCCCCCN=C=O,255.0
O=Cc1ccc(Cl)cc1,213.5
S=C=S,46.0
CC1CCC(=O)CC1,170.0
Cc1ncsc1C,158.0
c1ccc(N2CCNCC2)cc1,286.5
CCCC[Si]1(C)O[Si](C)(CCCC)O[Si](C)(CCCC)O[Si](C)(CCCC)O1,291.0
C=C(CC)C(C)C,89.0
CC(C)(O)CO,176.0
CC(=O)c1cccc(O)c1,296.0
CSSC,109.8
C=CCN=C=S,152.0
CCN(CC)CCO,163.0
CCCCCCC(=O)Cl,145.0
C=Cc1ccc(Br)cc1,212.0
N#CC(=O)c1ccccc1,206.0
CCCCCCCCCc1ccccc1,280.5
C[B]C,70.5
C=C=CCCCC,105.5
ClC1(Cl)CCCCC1,171.0
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,38.5
OCCc1ccc(Cl)cc1,259.0
C=CCCCCCCCCCCC,232.8
CCC[Si](C)(C)C,89.0
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,447.0
CSCSC,148.0
Cc1ccc2c(c1)CCCC2,229.0
C=CC(CC)CCC,110.3
CC(C)CC=NO,161.3
CN1CCC(O)CC1,200.0
CCCCOC(=O)C(C)C,155.0
CCCC(C)C,60.2
CC(C)([N+](=O)[O-])[N+](=O)[O-],185.0
ClC(Cl)I,132.0
CCCCCCCF,117.9
CC(C)(C)c1ccc(Br)cc1,231.5
