molecules,pkb
c1coc(-c2ccncc2)c1,5.6
O=S(=O)(Nc1ncccn1)c1ccccc1,0.15
Cc1cc(CO)c(C)c(C)n1,7.3
COc1cccc(OC)c1-c1nc2cccnc2[nH]1,4.85
CCOC(=O)C(N)CC,7.71
NC1CCc2ccccc21,9.21
Cc1ccc([N+](=O)[O-])cc1C(=NCCCN(C)C)c1ccccc1,8.8
Fc1cccnc1,2.97
O=P(O)(O)c1cn2c(n1)C(O)C(O)C(O)C2CO,7.69
Nc1ccc(Cl)cc1N,4.3
Cn1cnc2c[nH]c(=O)nc21,9.19
CCN=c1sc(-c2ccccc2)nn1CC,6.7
COC(=O)c1ccc(N(C)C)cc1,2.61
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)CCn1ccnc1,4.0
Cc1nc2cccc(N)c2n1C,6.66
N=C(N)NOCC(=O)O,7.58
COC(=O)c1cccc(N)c1,3.55
CN(C)C=Nc1ccc(Cl)cc1,8.46
Cc1cc(N)nc(Nc2ccc(Cl)cc2)n1,6.6
c1ccc2c(c1)ccc1ncccc12,5.15
Fc1cc2[nH]cnc2cc1Cl,4.33
O=[N+]([O-])c1ccc2[nH]c(-c3cccs3)nc2c1,2.36
O=C1N=NCc2ccccc21,11.99
OCCCCCc1ccccn1,5.93
COc1cc(C(N)=O)ccc1-c1nc2c(ncn2C)[nH]1,3.8
CCCN(CC)c1ccccc1,6.39
c1ccc2c(c1)C1CCN2C1,7.1
Cc1cccc(N)n1,7.4
CN1c2ccccc2SC1N=N,6.1
Cc1cc(=O)[nH]cn1,9.0
COc1cccc(CN2CC(O[Si](C)(C)C)C2)c1,7.81
Cc1ccccc1N=NC(C#N)C#N,-0.84
O=[N+]([O-])c1cccc2cnccc12,3.46
c1ccc(-c2ccc3nc(CN4CCOCC4)cn3n2)cc1,6.25
Cn1c(CO)nc2ccccc21,4.36
Cc1cnc2c(ccc3c(C)ccnc32)c1C,5.99
CCCCCSC(=N)c1ccccc1,8.5
O=C(O)c1ccc[n+]([O-])c1,0.41
CCOC(=O)c1cc(-c2ccccc2)nnc1NCCN1CCOCC1,6.67
